키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
파이썬,16000,10700,10,높음,10.7,35.6,0.07,0.36
STEP,5020,8130,7,중간,7.1,7.6,0.15,0.1
내일배움카드,88700,172500,10,높음,87.0,691.6,0.11,0.43
스마트팜교육,460,980,10,높음,12.7,72.2,2.87,7.77
국비지원,6870,12700,10,높음,21.6,88.2,0.33,0.73
파이썬강의,270,230,10,높음,1.2,7.0,0.46,3.1
코딩인강,40,120,10,높음,1.1,4.6,2.4,4.0
파이썬인강,100,160,10,높음,1.9,11.0,1.89,7.06
파이썬독학,1320,1930,10,높음,4.3,25.0,0.34,1.37
파이썬자격증,820,1570,10,높음,3.8,14.6,0.48,0.98
내일배움카드신청,24300,64900,10,높음,13.0,187.6,0.06,0.31
데이터라벨링,1360,3160,10,높음,17.1,49.8,1.3,1.63
파이선,1580,1080,10,높음,1.6,4.7,0.11,0.47
AI자격증,3920,7570,10,높음,16.1,62.8,0.43,0.88
평생교육원,10000,18900,10,높음,187.4,376.0,1.94,2.1
빅데이터분석기사,10000,13200,10,높음,15.7,76.6,0.17,0.62
데이터분석,1040,1190,10,높음,4.2,10.0,0.42,0.89
국비지원교육,9130,25900,10,높음,42.2,338.6,0.48,1.39
AI,44600,104500,10,높음,53.2,553.1,0.13,0.57
데이터분석부트캠프,410,660,10,높음,10.9,30.0,2.69,4.74
파이썬교육,180,90,10,높음,2.5,3.6,1.38,4.29
CNN,8590,16600,2,낮음,2.7,30.3,0.04,0.2
데이터분석강의,50,60,10,높음,1.3,2.8,2.6,4.45
온라인강의,540,870,10,높음,5.0,5.8,0.96,0.7
정보처리기능사,5000,8960,10,높음,3.7,33.2,0.08,0.4
파이썬기초,600,720,10,높음,2.5,6.6,0.43,0.97
파이썬국비지원,60,40,10,높음,0.9,2.2,1.43,5.95
코딩온라인강의,< 10,< 10,7,높음,0.4,0.0,4.77,0.0
AI온라인교육,190,140,10,높음,5.8,6.4,2.93,4.75
ORACLE,1100,1770,10,높음,0.2,1.8,0.02,0.11
임베디드,1650,2810,10,높음,0.3,4.4,0.02,0.17
파이썬온라인강의,40,70,10,높음,1.5,2.8,3.41,3.79
KDT,900,740,10,높음,2.2,3.8,0.25,0.53
AI학원,1090,2990,10,높음,24.8,103.4,2.33,3.69
정보통신기사,5350,5890,10,높음,20.5,60.6,0.4,1.1
코딩강의,120,100,10,높음,1.9,1.2,1.62,1.24
데이터사이언스,460,930,10,높음,0.6,3.6,0.14,0.42
아두이노코딩,190,330,10,높음,1.0,6.1,0.54,1.96
HRD,10900,8830,10,높음,5.4,19.0,0.06,0.23
금융데이터분석,40,40,10,높음,0.0,0.8,0.0,1.75
AI공부,610,1130,10,높음,3.1,13.2,0.52,1.23
IT직업전문학교,50,60,10,높음,1.5,4.6,2.89,7.37
자율주행,4540,11700,10,높음,2.1,16.6,0.05,0.16
자율주행교육,10,20,7,높음,0.7,0.3,7.15,0.93
이코리아텍,40,10,4,중간,4.4,3.3,10.5,20.46
사물인터넷,890,1070,10,높음,0.8,4.0,0.1,0.4
웹디자인,820,1450,10,높음,2.4,17.4,0.3,1.26
