키워드,검색수M,클릭수M,클릭률M,상품수,경쟁강도
C,15000,중간,20.3,28966291,1931.086067
R,15300,중간,17.6,14565161,951.971307
로봇,19800,높음,47.4,2214516,111.844242
VR,12000,높음,28.0,433069,36.089083
DART,19800,중간,5.8,380867,19.235707
AI,104500,높음,553.1,1190580,11.39311
파이썬,10700,높음,35.6,97372,9.100187
자율주행,11700,높음,16.6,19494,1.666154
자기계발,20500,높음,16.3,13410,0.654146
CBT,55400,중간,116.0,33855,0.611101
CNN,16600,낮음,30.3,5669,0.341506
자기개발,11400,높음,10.6,3643,0.319561
내일배움카드,172500,높음,691.6,12398,0.071872
평생교육원,18900,높음,376.0,1157,0.061217
ADSP,60400,높음,74.3,3662,0.060629
CHATGPT,890200,높음,248.9,8863,0.009956
국비지원,12700,높음,88.2,57,0.004488
SQLD,15600,높음,25.0,59,0.003782
내일배움카드교육,20500,높음,223.0,51,0.002488
빅데이터분석기사,13200,높음,76.6,28,0.002121
국민내일배움카드,42400,높음,140.7,30,0.000708
챗GPT,2478300,높음,563.4,1722,0.000695
국비지원교육,25900,높음,338.6,12,0.000463
ITQ자격증,33500,높음,116.2,11,0.000328
내일배움카드신청,64900,높음,187.6,10,0.000154
챗지피티,5818300,높음,1391.5,403,6.9e-05
ADSP시험일정,36000,높음,47.6,0,0.0
